"","name","address","vacancy","postcode","lga"
"7542","Honey Bird Child Care Centre","EVELEIGH NSW 2015","Vacancy","2015","Sydney"
"7543","Balmain-Rozelle Occasional Care","BALMAIN NSW 2041","No Vacancy","2041","Inner West"
"7544","KU - Phoenix Preschool","BALMAIN NSW 2041",NA,"2041","Inner West"
"7545","KU Carillon Avenue Children's Centre","NEWTOWN NSW 2042","Vacancy","2042","Inner West"
"7546","SDN Lois Barker Children's Education and Care Centre","WATERLOO NSW 2017","No Vacancy","2017","Sydney"
"7547","Camperdown Child Care and Pre-School","CAMPERDOWN NSW 2050","No Vacancy","2050","Sydney"
"7548","Little Lion Early Learning PTY LTD","WATERLOO NSW 2017","Vacancy","2017","Sydney"
"7549","Mosman Early Learning Centre","BEAUTY POINT NSW 2088","No Vacancy","2088","Mosman"
"7550","North Newtown OOSH Inc (Nnoosh Inc)","NEWTOWN NSW 2042","No Vacancy","2042","Inner West"
"7551","Guardian Childcare & Education Arthur Street","NORTH SYDNEY NSW 2060","Vacancy","2060","North Sydney"
"7552","Goodstart Early Learning Double Bay","DOUBLE BAY NSW 2028","Vacancy","2028","Woollahra"
"7553","Guardian Childcare & Education Walker Street","NORTH SYDNEY NSW 2060","Vacancy","2060","North Sydney"
"7554","Camp Australia - Birchgrove Public School OSHC","BALMAIN NSW 2041","Vacancy","2041","Inner West"
"7555","Birchgrove Public School Preschool","BALMAIN NSW 2041",NA,"2041","Inner West"
"7556","Moore Park Children's Early Learning Centre 1","WATERLOO NSW 2017","Vacancy","2017","Sydney"
"7557","Maria Regina Avalon Vacation Care","AVALON NSW 2107","Vacancy","2107","Northern Beaches"
"7558","Eveleigh Early Learning and Preschool","ALEXANDRIA NSW 2015","Vacancy","2015","Sydney"
"7559","Woollahra Preschool","DOUBLE BAY NSW 2028",NA,"2028","Woollahra"
"7560","Bambini's Child Care Centre","CENTENNIAL PARK NSW 2021","No Vacancy","2021","Woollahra"
"7561","Bambini's 2 Child Care Centre","CENTENNIAL PARK NSW 2021","No Vacancy","2021","Woollahra"
"7562","KU Sunbeam Preschool","ALEXANDRIA NSW 2015","Vacancy","2015","Sydney"
"7563","Helping Hands Woollahra","WOOLLAHRA NSW 2025","Vacancy","2025","Woollahra"
"7564","Reggio Academy","WATERLOO NSW 2017","Vacancy","2017","Sydney"
"7565","Explore And Develop Annandale","ANNANDALE NSW 2038","Vacancy","2038","Inner West"
"7566","Willow Cottage Early Learning Centre","NORTH SYDNEY NSW 2060","No Vacancy","2060","North Sydney"
"7567","Annandale North Out of School Hours Care Association","ANNANDALE NSW 2038","Vacancy","2038","Inner West"
"7568","Goodstart Early Learning North Sydney - Berry Street","NORTH SYDNEY NSW 2060","Vacancy","2060","North Sydney"
"7569","Integricare Early Learning Centre Rozelle","ROZELLE NSW 2039","Vacancy","2039","Inner West"
"7570","Emanuel Woollahra Preschool","WOOLLAHRA NSW 2025","No Vacancy","2025","Woollahra"
"7571","Rozelle Public School Preschool","ROZELLE NSW 2039",NA,"2039","Inner West"
"7572","The Green Elephant Early Learning Centre Waterloo","WATERLOO NSW 2017","Vacancy","2017","Sydney"
"7573","Greenwood Waterloo","WATERLOO NSW 2017","Vacancy","2017","Sydney"
"7574","Rozelle OSHCLUB","ROZELLE NSW 2039","No Vacancy","2039","Inner West"
"7575","PCYC - Out of School Hours North Sydney","NORTH SYDNEY NSW 2060","Vacancy","2060","North Sydney"
"7576","Camp Australia - Alexandria Park Community School OSHC","ALEXANDRIA NSW 2015","Vacancy","2015","Sydney"
"7577","Wunanbiri Preschool","ALEXANDRIA NSW 2015",NA,"2015","Sydney"
"7578","Boundary Lane Children's Centre","NEWTOWN NSW 2042","Vacancy","2042","Inner West"
"7579","Manilla Community Pre-School & Occasional Care","MANILLA NSW 2346",NA,"2346","Tamworth Regional"
"7580","Manilla Early Learning","MANILLA NSW 2346","No Vacancy","2346","Tamworth Regional"
"7581","Poppins Bush School Pty Ltd","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7582","ESTEEM KIDS CALROSSY TAMWORTH","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7583","Milestones Early Learning (OXV)","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7584","St Mary's North Tamworth Preschool","TAMWORTH NSW 2340",NA,"2340","Tamworth Regional"
"7585","Billabong Kids Central","WESTDALE NSW 2340","Vacancy","2340","Tamworth Regional"
"7586","Bambini Boutique Childcare","NORTH TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7587","Milestones Early Learning Centre","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7588","Busy Bees at Tamworth","TAMINDA NSW 2340","No Vacancy","2340","Tamworth Regional"
"7589","NurtureOne Tamworth Children's Centre","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7590","PCYC- Out Of School Hours Tamworth","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7591","Calrossy Preschool","TAMWORTH NSW 2340",NA,"2340","Tamworth Regional"
"7592","RAINBOW COTTAGE OCCASIONAL CHILD CARE CENTRE","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7593","Goodstart Early Learning Tamworth - Brisbane Street","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7594","Tamworth Montessori Preschool","TAMWORTH NSW 2340",NA,"2340","Tamworth Regional"
"7595","Little Stars Childcare","WEST TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7596","East Year Round Care","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7597","South Year Round Care","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7598","Esteem Kids St Joseph's West Tamworth","WEST TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7599","Denison Street Early Learning Centre","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7600","Tamworth Regional In Home Care - Children's Service","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7601","Tamworth Family Day Care","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7602","Centrepoint Child Care Centre","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7603","Milestones Early Learning South Tamworth","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7604","Birrelee Multifunctional Aboriginal Children's Service","WEST TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7605","Tamworth School of Early Learning","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7606","Esteem Kids St Nicholas Tamworth","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7607","Children First - Tamworth South Outside School Hours","SOUTH TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7608","Little Kindy West Tamworth","TAMWORTH NSW 2340","Vacancy","2340","Tamworth Regional"
"7609","Little Kindy Tamworth","TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
"7610","Janelle Street Centre","SOUTH TAMWORTH NSW 2340","No Vacancy","2340","Tamworth Regional"
