"","geography","month","vacancy_rate"
"218","Orange","2021-06",0.435799534135389
"219","Orange","2021-07",0.369001561936802
"220","Orange","2021-08",0.318844064047699
"221","Orange","2021-09",0.201476920116422
"222","Orange","2021-10",0.268816945480804
"223","Orange","2021-11",0.420238897986707
"224","Orange","2021-12",0.538177963038816
"225","Orange","2022-01",0.403905967450271
"226","Orange","2022-02",0.707193515704155
"227","Orange","2022-03",0.724398426375112
"228","Orange","2022-04",1.3149136577708
"229","Orange","2022-05",1.21438236999807
"230","Orange","2022-06",1.24874888185093
"231","Orange","2022-07",0.996298536349341
"232","Orange","2022-08",1.33470494263446
"233","Orange","2022-09",1.42014242115972
"234","Orange","2022-10",1.67459105779716
"235","Orange","2022-11",1.92929880709921
"236","Orange","2022-12",2.57414596273292
"237","Orange","2023-01",2.57414596273292
"238","Parkes","2021-02",2.67489887162018
"239","Parkes","2021-03",1.2901938952246
"240","Parkes","2021-04",1.01822366877786
"241","Parkes","2021-05",1.09878000787092
"242","Parkes","2021-06",0.873127000653658
"243","Parkes","2021-07",1.06277920196806
"244","Parkes","2021-08",0.947247896786331
"245","Parkes","2021-09",1.17964012327269
"246","Parkes","2021-10",1.20938307620645
"247","Parkes","2021-11",0.953999801368223
"248","Parkes","2021-12",1.70536848680566
"249","Parkes","2022-01",1.38017704972284
"250","Parkes","2022-02",2.53153334676607
"251","Parkes","2022-03",2.60737001514387
"252","Parkes","2022-04",1.14304345820455
"253","Parkes","2022-05",0.968279001082019
"254","Parkes","2022-06",1.38743072424979
"255","Parkes","2022-07",0.866971913854892
"256","Parkes","2022-08",1.01890756302521
"257","Parkes","2022-09",1.30626388486429
"258","Parkes","2022-10",1.30791538517424
"259","Parkes","2022-11",1.08071841453344
"260","Parkes","2022-12",1.40986358382901
"261","Parkes","2023-01",1.40986358382901
"262","Weddin","2021-11",0.75256064690027
"263","Weddin","2021-12",0.75256064690027
"264","Weddin","2022-01",1.1288409703504
"265","Weddin","2022-02",0.377705627705628
"266","Weddin","2022-03",1.52695211329696
"267","Weddin","2022-04",1.52695211329696
"268","Weddin","2022-05",4.2423503037509
"269","Weddin","2022-06",4.05278496282994
"270","Weddin","2022-07",0.383516483516484
"271","Weddin","2022-08",0.383516483516484
"272","Weddin","2022-10",0.386489479512735
"273","Weddin","2022-11",0.775986659255142
"274","Weddin","2022-12",0.775986659255142
"275","Weddin","2023-01",0.775986659255142
"276","central_west","2021-02",1.58336404906011
"277","central_west","2021-03",1.30716457926446
"278","central_west","2021-04",1.7356342915291
"279","central_west","2021-05",0.953370965385001
"280","central_west","2021-06",1.1664599228955
"281","central_west","2021-07",1.32872564662576
"282","central_west","2021-08",1.33111715472903
"283","central_west","2021-09",1.25009936483727
"284","central_west","2021-10",1.14573926903734
"285","central_west","2021-11",1.3812913368665
"286","central_west","2021-12",1.20244198105134
"287","central_west","2022-01",1.05756696969495
"288","central_west","2022-02",1.02286508976882
"289","central_west","2022-03",0.981019789615151
"290","central_west","2022-04",1.10330815803737
"291","central_west","2022-05",1.19877892034154
"292","central_west","2022-06",1.36682401766892
"293","central_west","2022-07",1.20505786651395
"294","central_west","2022-08",1.39230298952566
